Hours since 00:00 Jan 1,Small - Day AC,Small - Night AC,Small - No AC,Medium - Day AC,Medium - Night AC,Medium - No AC,Large - Day AC,Large - Night AC,Large - No AC,Large - Slef Con,Medium - Slef Con
18,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
19,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
20,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
21,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
22,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
23,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
24,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
25,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
26,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
27,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
28,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
29,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
30,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
31,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
32,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
33,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
34,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
35,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
36,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
37,0.468873128,0.266952177,0.344303797,0.772261623,0.439685939,0.567088608,1.10323089,0.628122769,0.810126582,1.49142431,1.043997017
38,0.502364066,0.291220557,0.356600362,0.827423168,0.479657388,0.587341772,1.182033097,0.685224839,0.839059675,1.342281879,0.939597315
39,0.535855004,0.364025696,0.368896926,0.882584712,0.599571734,0.607594937,1.260835303,0.856531049,0.867992767,1.193139448,0.835197614
40,0.569345942,0.436830835,0.401175407,0.937746257,0.719486081,0.660759494,1.33963751,1.027837259,0.943942134,1.267710664,0.887397465
41,0.602836879,0.546038544,0.433453888,0.992907801,0.899357602,0.713924051,1.418439716,1.284796574,1.019891501,1.342281879,0.939597315
42,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
43,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
44,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
45,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
46,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
47,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
48,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
49,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
50,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
51,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
52,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
53,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
54,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
55,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
56,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
57,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
58,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
59,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
60,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
61,0.468873128,0.266952177,0.344303797,0.772261623,0.439685939,0.567088608,1.10323089,0.628122769,0.810126582,1.49142431,1.043997017
62,0.502364066,0.291220557,0.356600362,0.827423168,0.479657388,0.587341772,1.182033097,0.685224839,0.839059675,1.342281879,0.939597315
63,0.535855004,0.364025696,0.368896926,0.882584712,0.599571734,0.607594937,1.260835303,0.856531049,0.867992767,1.193139448,0.835197614
64,0.569345942,0.436830835,0.401175407,0.937746257,0.719486081,0.660759494,1.33963751,1.027837259,0.943942134,1.267710664,0.887397465
65,0.602836879,0.546038544,0.433453888,0.992907801,0.899357602,0.713924051,1.418439716,1.284796574,1.019891501,1.342281879,0.939597315
66,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
67,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
68,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
69,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
70,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
71,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
72,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
73,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
74,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
75,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
76,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
77,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
78,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
79,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
80,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
81,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
82,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
83,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
84,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
85,0.468873128,0.266952177,0.344303797,0.772261623,0.439685939,0.567088608,1.10323089,0.628122769,0.810126582,1.49142431,1.043997017
86,0.502364066,0.291220557,0.356600362,0.827423168,0.479657388,0.587341772,1.182033097,0.685224839,0.839059675,1.342281879,0.939597315
87,0.535855004,0.364025696,0.368896926,0.882584712,0.599571734,0.607594937,1.260835303,0.856531049,0.867992767,1.193139448,0.835197614
88,0.569345942,0.436830835,0.401175407,0.937746257,0.719486081,0.660759494,1.33963751,1.027837259,0.943942134,1.267710664,0.887397465
89,0.602836879,0.546038544,0.433453888,0.992907801,0.899357602,0.713924051,1.418439716,1.284796574,1.019891501,1.342281879,0.939597315
90,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
91,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
92,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
93,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
94,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
95,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
96,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
97,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
98,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
99,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
100,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
101,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
102,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
103,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
104,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
105,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
106,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
107,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
108,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
109,0.468873128,0.266952177,0.344303797,0.772261623,0.439685939,0.567088608,1.10323089,0.628122769,0.810126582,1.49142431,1.043997017
110,0.502364066,0.291220557,0.356600362,0.827423168,0.479657388,0.587341772,1.182033097,0.685224839,0.839059675,1.342281879,0.939597315
111,0.535855004,0.364025696,0.368896926,0.882584712,0.599571734,0.607594937,1.260835303,0.856531049,0.867992767,1.193139448,0.835197614
112,0.569345942,0.436830835,0.401175407,0.937746257,0.719486081,0.660759494,1.33963751,1.027837259,0.943942134,1.267710664,0.887397465
113,0.602836879,0.546038544,0.433453888,0.992907801,0.899357602,0.713924051,1.418439716,1.284796574,1.019891501,1.342281879,0.939597315
114,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
115,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
116,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
117,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
118,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
119,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
120,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
121,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
122,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
123,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
124,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
125,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
126,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
127,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
128,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
129,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
130,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
131,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
132,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
133,0.468873128,0.266952177,0.344303797,0.772261623,0.439685939,0.567088608,1.10323089,0.628122769,0.810126582,1.49142431,1.043997017
134,0.502364066,0.291220557,0.356600362,0.827423168,0.479657388,0.587341772,1.182033097,0.685224839,0.839059675,1.342281879,0.939597315
135,0.535855004,0.364025696,0.368896926,0.882584712,0.599571734,0.607594937,1.260835303,0.856531049,0.867992767,1.193139448,0.835197614
136,0.569345942,0.436830835,0.401175407,0.937746257,0.719486081,0.660759494,1.33963751,1.027837259,0.943942134,1.267710664,0.887397465
137,0.602836879,0.546038544,0.433453888,0.992907801,0.899357602,0.713924051,1.418439716,1.284796574,1.019891501,1.342281879,0.939597315
138,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
139,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
140,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
141,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
142,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
143,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
144,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
145,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
146,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
147,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
148,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
149,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
150,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
151,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
152,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
153,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
154,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
155,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
156,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
157,0.468873128,0.266952177,0.344303797,0.772261623,0.439685939,0.567088608,1.10323089,0.628122769,0.810126582,1.49142431,1.043997017
158,0.502364066,0.291220557,0.356600362,0.827423168,0.479657388,0.587341772,1.182033097,0.685224839,0.839059675,1.342281879,0.939597315
159,0.535855004,0.364025696,0.368896926,0.882584712,0.599571734,0.607594937,1.260835303,0.856531049,0.867992767,1.193139448,0.835197614
160,0.569345942,0.436830835,0.401175407,0.937746257,0.719486081,0.660759494,1.33963751,1.027837259,0.943942134,1.267710664,0.887397465
161,0.602836879,0.546038544,0.433453888,0.992907801,0.899357602,0.713924051,1.418439716,1.284796574,1.019891501,1.342281879,0.939597315
162,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
163,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
164,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
165,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
166,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
167,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
168,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
169,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
170,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
171,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
172,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
173,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
174,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
175,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
176,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
177,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
178,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
179,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
180,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
181,0.468873128,0.266952177,0.344303797,0.772261623,0.439685939,0.567088608,1.10323089,0.628122769,0.810126582,1.49142431,1.043997017
182,0.502364066,0.291220557,0.356600362,0.827423168,0.479657388,0.587341772,1.182033097,0.685224839,0.839059675,1.342281879,0.939597315
183,0.535855004,0.364025696,0.368896926,0.882584712,0.599571734,0.607594937,1.260835303,0.856531049,0.867992767,1.193139448,0.835197614
184,0.569345942,0.436830835,0.401175407,0.937746257,0.719486081,0.660759494,1.33963751,1.027837259,0.943942134,1.267710664,0.887397465
185,0.602836879,0.546038544,0.433453888,0.992907801,0.899357602,0.713924051,1.418439716,1.284796574,1.019891501,1.342281879,0.939597315
186,0.535855004,0.728051392,0.465732369,0.882584712,1.199143469,0.767088608,1.260835303,1.713062099,1.095840868,1.193139448,0.835197614
187,0.468873128,0.728051392,0.49801085,0.772261623,1.199143469,0.820253165,1.10323089,1.713062099,1.171790235,1.043997017,0.730797912
188,0.401891253,0.673447537,0.516455696,0.661938534,1.109207709,0.850632911,0.945626478,1.584582441,1.215189873,0.894854586,0.62639821
189,0.334909377,0.552105639,0.442676311,0.551615445,0.909350464,0.729113924,0.788022065,1.299072091,1.04159132,0.745712155,0.521998509
190,0.267927502,0.43076374,0.405786618,0.441292356,0.709493219,0.66835443,0.630417652,1.013561742,0.954792043,0.596569724,0.417598807
191,0.200945626,0.309421842,0.368896926,0.330969267,0.509635974,0.607594937,0.472813239,0.728051392,0.867992767,0.447427293,0.313199105
192,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.223713647,0.156599553
193,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0,0
194,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
195,0.200945626,0.218415418,0.258227848,0.330969267,0.359743041,0.425316456,0.472813239,0.51391863,0.607594937,0,0
196,0.200945626,0.236616702,0.276672694,0.330969267,0.389721627,0.455696203,0.472813239,0.556745182,0.650994575,0.223713647,0.156599553
197,0.200945626,0.254817987,0.295117541,0.330969267,0.419700214,0.486075949,0.472813239,0.599571734,0.694394213,0.447427293,0.313199105
198,0.241134752,0.291220557,0.313562387,0.397163121,0.479657388,0.516455696,0.567375887,0.685224839,0.737793852,0.536912752,0.375838926
199,0.281323877,0.291220557,0.332007233,0.463356974,0.479657388,0.546835443,0.661938534,0.685224839,0.78119349,0.62639821,0.438478747
200,0.321513002,0.254817987,0.313562387,0.529550827,0.419700214,0.516455696,0.756501182,0.599571734,0.737793852,0.715883669,0.501118568
201,0.348305753,0.236616702,0.295117541,0.573680063,0.389721627,0.486075949,0.819542947,0.556745182,0.694394213,0.775540641,0.542878449
202,0.375098503,0.218415418,0.307414105,0.617809299,0.359743041,0.506329114,0.882584712,0.51391863,0.723327306,1.461595824,1.023117077
203,0.401891253,0.218415418,0.344303797,0.661938534,0.359743041,0.567088608,0.945626478,0.51391863,0.810126582,1.789709172,1.252796421
204,0.435382191,0.242683797,0.332007233,0.717100079,0.39971449,0.546835443,1.024428684,0.5710207,0.78119349,1.640566741,1.148396719
