Hours since 00:00 Jan 1,price,fit
559,23.87,12.8
560,23.87,12.8
561,23.87,12.8
562,23.87,12.8
563,23.87,12.8
564,23.87,12.8
565,23.87,12.8
566,23.87,12.8
567,40.05,12.8
568,40.05,12.8
569,40.05,12.8
570,40.05,12.8
571,40.05,12.8
572,40.05,12.8
573,23.87,12.8
574,23.87,12.8
575,21.78,12.8
576,21.78,12.8
577,21.78,12.8
578,21.78,12.8
579,21.78,12.8
580,21.78,12.8
581,21.78,12.8
582,21.78,12.8
583,23.87,12.8
584,23.87,12.8
585,23.87,12.8
586,23.87,12.8
587,23.87,12.8
588,23.87,12.8
589,23.87,12.8
590,23.87,12.8
591,40.05,12.8
592,40.05,12.8
593,40.05,12.8
594,40.05,12.8
595,40.05,12.8
596,40.05,12.8
597,23.87,12.8
598,23.87,12.8
599,21.78,12.8
600,21.78,12.8
601,21.78,12.8
602,21.78,12.8
603,21.78,12.8
604,21.78,12.8
605,21.78,12.8
606,21.78,12.8
607,23.87,12.8
608,23.87,12.8
609,23.87,12.8
610,23.87,12.8
611,23.87,12.8
612,23.87,12.8
613,23.87,12.8
614,23.87,12.8
615,40.05,12.8
616,40.05,12.8
617,40.05,12.8
618,40.05,12.8
619,40.05,12.8
620,40.05,12.8
621,23.87,12.8
622,23.87,12.8
623,21.78,12.8
624,21.78,12.8
625,21.78,12.8
626,21.78,12.8
627,21.78,12.8
628,21.78,12.8
629,21.78,12.8
630,21.78,12.8
631,23.87,12.8
632,23.87,12.8
633,23.87,12.8
634,23.87,12.8
635,23.87,12.8
636,23.87,12.8
637,23.87,12.8
638,23.87,12.8
639,40.05,12.8
640,40.05,12.8
641,40.05,12.8
642,40.05,12.8
643,40.05,12.8
644,40.05,12.8
645,23.87,12.8
646,23.87,12.8
647,21.78,12.8
648,21.78,12.8
649,21.78,12.8
650,21.78,12.8
651,21.78,12.8
652,21.78,12.8
653,21.78,12.8
654,21.78,12.8
655,23.87,12.8
656,23.87,12.8
657,23.87,12.8
658,23.87,12.8
659,23.87,12.8
660,23.87,12.8
661,23.87,12.8
662,23.87,12.8
663,40.05,12.8
664,40.05,12.8
665,40.05,12.8
666,40.05,12.8
667,40.05,12.8
668,40.05,12.8
669,23.87,12.8
670,23.87,12.8
671,21.78,12.8
672,21.78,12.8
673,21.78,12.8
674,21.78,12.8
675,21.78,12.8
676,21.78,12.8
677,21.78,12.8
678,21.78,12.8
679,23.87,12.8
680,23.87,12.8
681,23.87,12.8
682,23.87,12.8
683,23.87,12.8
684,23.87,12.8
685,23.87,12.8
686,23.87,12.8
687,40.05,12.8
688,40.05,12.8
689,40.05,12.8
690,40.05,12.8
691,40.05,12.8
692,40.05,12.8
693,23.87,12.8
694,23.87,12.8
695,21.78,12.8
696,21.78,12.8
697,21.78,12.8
698,21.78,12.8
699,21.78,12.8
700,21.78,12.8
701,21.78,12.8
702,21.78,12.8
703,23.87,12.8
704,23.87,12.8
705,23.87,12.8
706,23.87,12.8
707,23.87,12.8
708,23.87,12.8
709,23.87,12.8
710,23.87,12.8
711,40.05,12.8
712,40.05,12.8
713,40.05,12.8
714,40.05,12.8
715,40.05,12.8
716,40.05,12.8
717,23.87,12.8
718,23.87,12.8
719,21.78,12.8
720,21.78,12.8
721,21.78,12.8
722,21.78,12.8
723,21.78,12.8
724,21.78,12.8
725,21.78,12.8
726,21.78,12.8
727,23.87,12.8
728,23.87,12.8
729,23.87,12.8
730,23.87,12.8
731,23.87,12.8
732,23.87,12.8
733,23.87,12.8
734,23.87,12.8
735,40.05,12.8
736,40.05,12.8
737,40.05,12.8
738,40.05,12.8
739,40.05,12.8
740,40.05,12.8
741,23.87,12.8
742,23.87,12.8
743,21.78,12.8
744,21.78,12.8
745,21.78,12.8
746,21.78,12.8
747,21.78,12.8
748,21.78,12.8
749,21.78,12.8
750,21.78,12.8
751,23.87,12.8
752,23.87,12.8
753,23.87,12.8
754,23.87,12.8
755,23.87,12.8
756,23.87,12.8
757,23.87,12.8
758,23.87,12.8
759,40.05,12.8
760,40.05,12.8
761,40.05,12.8
762,40.05,12.8
763,40.05,12.8
764,40.05,12.8
765,23.87,12.8
766,23.87,12.8
767,21.78,12.8
768,21.78,12.8
769,21.78,12.8
770,21.78,12.8
771,21.78,12.8
772,21.78,12.8
773,21.78,12.8
774,21.78,12.8
775,23.87,12.8
776,23.87,12.8
777,23.87,12.8
778,23.87,12.8
779,23.87,12.8
780,23.87,12.8
781,23.87,12.8
782,23.87,12.8
783,40.05,12.8
784,40.05,12.8
785,40.05,12.8
786,40.05,12.8
787,40.05,12.8
788,40.05,12.8
789,23.87,12.8
790,23.87,12.8
791,21.78,12.8
792,21.78,12.8
793,21.78,12.8
794,21.78,12.8
795,21.78,12.8
796,21.78,12.8
797,21.78,12.8
798,21.78,12.8
799,23.87,12.8
800,23.87,12.8
801,23.87,12.8
802,23.87,12.8
803,23.87,12.8
804,23.87,12.8
805,23.87,12.8
806,23.87,12.8
807,40.05,12.8
808,40.05,12.8
809,40.05,12.8
810,40.05,12.8
811,40.05,12.8
812,40.05,12.8
813,23.87,12.8
814,23.87,12.8
815,21.78,12.8
816,21.78,12.8
817,21.78,12.8
818,21.78,12.8
819,21.78,12.8
820,21.78,12.8
821,21.78,12.8
822,21.78,12.8
823,23.87,12.8
824,23.87,12.8
825,23.87,12.8
826,23.87,12.8
827,23.87,12.8
828,23.87,12.8
829,23.87,12.8
830,23.87,12.8
831,40.05,12.8
832,40.05,12.8
833,40.05,12.8
834,40.05,12.8
835,40.05,12.8
836,40.05,12.8
837,23.87,12.8
838,23.87,12.8
839,21.78,12.8
840,21.78,12.8
841,21.78,12.8
842,21.78,12.8
843,21.78,12.8
844,21.78,12.8
845,21.78,12.8
846,21.78,12.8
847,23.87,12.8
848,23.87,12.8
849,23.87,12.8
850,23.87,12.8
851,23.87,12.8
852,23.87,12.8
853,23.87,12.8
854,23.87,12.8
855,40.05,12.8
856,40.05,12.8
857,40.05,12.8
858,40.05,12.8
859,40.05,12.8
860,40.05,12.8
861,23.87,12.8
862,23.87,12.8
863,21.78,12.8
864,21.78,12.8
865,21.78,12.8
866,21.78,12.8
867,21.78,12.8
868,21.78,12.8
869,21.78,12.8
870,21.78,12.8
871,23.87,12.8
872,23.87,12.8
873,23.87,12.8
874,23.87,12.8
875,23.87,12.8
876,23.87,12.8
877,23.87,12.8
878,23.87,12.8
879,40.05,12.8
880,40.05,12.8
881,40.05,12.8
882,40.05,12.8
883,40.05,12.8
884,40.05,12.8
885,23.87,12.8
886,23.87,12.8
887,21.78,12.8
888,21.78,12.8
889,21.78,12.8
890,21.78,12.8
891,21.78,12.8
892,21.78,12.8
893,21.78,12.8
894,21.78,12.8
895,23.87,12.8
896,23.87,12.8
897,23.87,12.8
898,23.87,12.8
899,23.87,12.8
900,23.87,12.8
901,23.87,12.8
902,23.87,12.8
903,40.05,12.8
904,40.05,12.8
905,40.05,12.8
906,40.05,12.8
907,40.05,12.8
908,40.05,12.8
909,23.87,12.8
910,23.87,12.8
911,21.78,12.8
912,21.78,12.8
913,21.78,12.8
914,21.78,12.8
915,21.78,12.8
916,21.78,12.8
917,21.78,12.8
918,21.78,12.8
919,23.87,12.8
920,23.87,12.8
921,23.87,12.8
922,23.87,12.8
923,23.87,12.8
924,23.87,12.8
925,23.87,12.8
926,23.87,12.8
927,40.05,12.8
928,40.05,12.8
929,40.05,12.8
930,40.05,12.8
931,40.05,12.8
932,40.05,12.8
933,23.87,12.8
934,23.87,12.8
935,21.78,12.8
936,21.78,12.8
937,21.78,12.8
938,21.78,12.8
939,21.78,12.8
940,21.78,12.8
941,21.78,12.8
942,21.78,12.8
943,23.87,12.8
944,23.87,12.8
945,23.87,12.8
946,23.87,12.8
947,23.87,12.8
948,23.87,12.8
949,23.87,12.8
950,23.87,12.8
951,40.05,12.8
952,40.05,12.8
953,40.05,12.8
954,40.05,12.8
955,40.05,12.8
956,40.05,12.8
957,23.87,12.8
958,23.87,12.8
959,21.78,12.8
960,21.78,12.8
961,21.78,12.8
962,21.78,12.8
963,21.78,12.8
964,21.78,12.8
965,21.78,12.8
966,21.78,12.8
967,23.87,12.8
968,23.87,12.8
969,23.87,12.8
970,23.87,12.8
971,23.87,12.8
972,23.87,12.8
973,23.87,12.8
974,23.87,12.8
975,40.05,12.8
976,40.05,12.8
977,40.05,12.8
978,40.05,12.8
979,40.05,12.8
980,40.05,12.8
981,23.87,12.8
982,23.87,12.8
983,21.78,12.8
984,21.78,12.8
985,21.78,12.8
986,21.78,12.8
987,21.78,12.8
988,21.78,12.8
989,21.78,12.8
990,21.78,12.8
991,23.87,12.8
992,23.87,12.8
993,23.87,12.8
994,23.87,12.8
995,23.87,12.8
996,23.87,12.8
997,23.87,12.8
998,23.87,12.8
999,40.05,12.8
1000,40.05,12.8
1001,40.05,12.8
1002,40.05,12.8
1003,40.05,12.8
1004,40.05,12.8
1005,23.87,12.8
1006,23.87,12.8
1007,21.78,12.8
1008,21.78,12.8
1009,21.78,12.8
1010,21.78,12.8
1011,21.78,12.8
1012,21.78,12.8
1013,21.78,12.8
1014,21.78,12.8
1015,23.87,12.8
1016,23.87,12.8
1017,23.87,12.8
1018,23.87,12.8
1019,23.87,12.8
1020,23.87,12.8
1021,23.87,12.8
1022,23.87,12.8
1023,40.05,12.8
1024,40.05,12.8
1025,40.05,12.8
1026,40.05,12.8
1027,40.05,12.8
1028,40.05,12.8
1029,23.87,12.8
1030,23.87,12.8
1031,21.78,12.8
1032,21.78,12.8
1033,21.78,12.8
1034,21.78,12.8
1035,21.78,12.8
1036,21.78,12.8
1037,21.78,12.8
1038,21.78,12.8
1039,23.87,12.8
1040,23.87,12.8
1041,23.87,12.8
1042,23.87,12.8
1043,23.87,12.8
1044,23.87,12.8
1045,23.87,12.8
1046,23.87,12.8
1047,40.05,12.8
1048,40.05,12.8
1049,40.05,12.8
1050,40.05,12.8
1051,40.05,12.8
1052,40.05,12.8
1053,23.87,12.8
1054,23.87,12.8
1055,21.78,12.8
1056,21.78,12.8
1057,21.78,12.8
1058,21.78,12.8
1059,21.78,12.8
1060,21.78,12.8
1061,21.78,12.8
1062,21.78,12.8
1063,23.87,12.8
1064,23.87,12.8
1065,23.87,12.8
1066,23.87,12.8
1067,23.87,12.8
1068,23.87,12.8
1069,23.87,12.8
1070,23.87,12.8
1071,40.05,12.8
1072,40.05,12.8
1073,40.05,12.8
1074,40.05,12.8
1075,40.05,12.8
1076,40.05,12.8
1077,23.87,12.8
1078,23.87,12.8
1079,21.78,12.8
1080,21.78,12.8
1081,21.78,12.8
1082,21.78,12.8
1083,21.78,12.8
1084,21.78,12.8
1085,21.78,12.8
1086,21.78,12.8
1087,23.87,12.8
1088,23.87,12.8
1089,23.87,12.8
1090,23.87,12.8
1091,23.87,12.8
1092,23.87,12.8
1093,23.87,12.8
1094,23.87,12.8
1095,40.05,12.8
1096,40.05,12.8
1097,40.05,12.8
1098,40.05,12.8
1099,40.05,12.8
1100,40.05,12.8
1101,23.87,12.8
1102,23.87,12.8
1103,21.78,12.8
1104,21.78,12.8
1105,21.78,12.8
1106,21.78,12.8
1107,21.78,12.8
1108,21.78,12.8
1109,21.78,12.8
1110,21.78,12.8
1111,23.87,12.8
1112,23.87,12.8
1113,23.87,12.8
1114,23.87,12.8
1115,23.87,12.8
1116,23.87,12.8
1117,23.87,12.8
1118,23.87,12.8
1119,40.05,12.8
1120,40.05,12.8
1121,40.05,12.8
1122,40.05,12.8
1123,40.05,12.8
1124,40.05,12.8
1125,23.87,12.8
1126,23.87,12.8
1127,21.78,12.8
1128,21.78,12.8
1129,21.78,12.8
1130,21.78,12.8
1131,21.78,12.8
1132,21.78,12.8
1133,21.78,12.8
1134,21.78,12.8
1135,23.87,12.8
1136,23.87,12.8
1137,23.87,12.8
1138,23.87,12.8
1139,23.87,12.8
1140,23.87,12.8
1141,23.87,12.8
1142,23.87,12.8
1143,40.05,12.8
1144,40.05,12.8
1145,40.05,12.8
1146,40.05,12.8
1147,40.05,12.8
1148,40.05,12.8
1149,23.87,12.8
1150,23.87,12.8
1151,21.78,12.8
1152,21.78,12.8
1153,21.78,12.8
1154,21.78,12.8
1155,21.78,12.8
1156,21.78,12.8
1157,21.78,12.8
1158,21.78,12.8
1159,23.87,12.8
1160,23.87,12.8
1161,23.87,12.8
1162,23.87,12.8
1163,23.87,12.8
1164,23.87,12.8
1165,23.87,12.8
1166,23.87,12.8
1167,40.05,12.8
1168,40.05,12.8
1169,40.05,12.8
1170,40.05,12.8
1171,40.05,12.8
1172,40.05,12.8
1173,23.87,12.8
1174,23.87,12.8
1175,21.78,12.8
1176,21.78,12.8
1177,21.78,12.8
1178,21.78,12.8
1179,21.78,12.8
1180,21.78,12.8
1181,21.78,12.8
1182,21.78,12.8
1183,23.87,12.8
1184,23.87,12.8
1185,23.87,12.8
1186,23.87,12.8
1187,23.87,12.8
1188,23.87,12.8
1189,23.87,12.8
1190,23.87,12.8
1191,40.05,12.8
1192,40.05,12.8
1193,40.05,12.8
1194,40.05,12.8
1195,40.05,12.8
1196,40.05,12.8
1197,23.87,12.8
1198,23.87,12.8
1199,21.78,12.8
1200,21.78,12.8
1201,21.78,12.8
1202,21.78,12.8
1203,21.78,12.8
1204,21.78,12.8
1205,21.78,12.8
1206,21.78,12.8
1207,23.87,12.8
1208,23.87,12.8
1209,23.87,12.8
1210,23.87,12.8
1211,23.87,12.8
1212,23.87,12.8
1213,23.87,12.8
1214,23.87,12.8
1215,40.05,12.8
1216,40.05,12.8
1217,40.05,12.8
1218,40.05,12.8
1219,40.05,12.8
1220,40.05,12.8
1221,23.87,12.8
1222,23.87,12.8
1223,21.78,12.8
1224,21.78,12.8
1225,21.78,12.8
1226,21.78,12.8
1227,21.78,12.8
1228,21.78,12.8
1229,21.78,12.8
1230,21.78,12.8
1231,23.87,12.8
1232,23.87,12.8
1233,23.87,12.8
1234,23.87,12.8
1235,23.87,12.8
1236,23.87,12.8
1237,23.87,12.8
1238,23.87,12.8
1239,40.05,12.8
1240,40.05,12.8
1241,40.05,12.8
1242,40.05,12.8
1243,40.05,12.8
1244,40.05,12.8
1245,23.87,12.8
1246,23.87,12.8
1247,21.78,12.8
1248,21.78,12.8
1249,21.78,12.8
1250,21.78,12.8
1251,21.78,12.8
1252,21.78,12.8
1253,21.78,12.8
1254,21.78,12.8
1255,23.87,12.8
1256,23.87,12.8
1257,23.87,12.8
1258,23.87,12.8
1259,23.87,12.8
1260,23.87,12.8
1261,23.87,12.8
1262,23.87,12.8
1263,40.05,12.8
1264,40.05,12.8
1265,40.05,12.8
1266,40.05,12.8
1267,40.05,12.8
1268,40.05,12.8
1269,23.87,12.8
1270,23.87,12.8
1271,21.78,12.8
1272,21.78,12.8
1273,21.78,12.8
1274,21.78,12.8
1275,21.78,12.8
1276,21.78,12.8
1277,21.78,12.8
1278,21.78,12.8
1279,23.87,12.8
1280,23.87,12.8
1281,23.87,12.8
1282,23.87,12.8
1283,23.87,12.8
1284,23.87,12.8
1285,23.87,12.8
1286,23.87,12.8
1287,40.05,12.8
1288,40.05,12.8
1289,40.05,12.8
1290,40.05,12.8
1291,40.05,12.8
1292,40.05,12.8
1293,23.87,12.8
1294,23.87,12.8
1295,21.78,12.8
1296,21.78,12.8
1297,21.78,12.8
1298,21.78,12.8
1299,21.78,12.8
1300,21.78,12.8
1301,21.78,12.8
1302,21.78,12.8
1303,23.87,12.8
1304,23.87,12.8
1305,23.87,12.8
1306,23.87,12.8
1307,23.87,12.8
1308,23.87,12.8
1309,23.87,12.8
1310,23.87,12.8
1311,40.05,12.8
1312,40.05,12.8
1313,40.05,12.8
1314,40.05,12.8
1315,40.05,12.8
1316,40.05,12.8
1317,23.87,12.8
1318,23.87,12.8
1319,21.78,12.8
1320,21.78,12.8
1321,21.78,12.8
1322,21.78,12.8
1323,21.78,12.8
1324,21.78,12.8
1325,21.78,12.8
1326,21.78,12.8
1327,23.87,12.8
1328,23.87,12.8
1329,23.87,12.8
1330,23.87,12.8
1331,23.87,12.8
1332,23.87,12.8
1333,23.87,12.8
1334,23.87,12.8
1335,40.05,12.8
1336,40.05,12.8
1337,40.05,12.8
1338,40.05,12.8
1339,40.05,12.8
1340,40.05,12.8
1341,23.87,12.8
1342,23.87,12.8
1343,21.78,12.8
1344,21.78,12.8
1345,21.78,12.8
1346,21.78,12.8
1347,21.78,12.8
1348,21.78,12.8
1349,21.78,12.8
1350,21.78,12.8
1351,23.87,12.8
1352,23.87,12.8
1353,23.87,12.8
1354,23.87,12.8
1355,23.87,12.8
1356,23.87,12.8
1357,23.87,12.8
1358,23.87,12.8
1359,40.05,12.8
